Symbol,Sector,Current Price
VTLT11,Financial,96.71
GTWR11,Financial,83.69
DMAC11,Financial,13.0
HCTR11,Financial,29.8
HSML11,Financial,91.99
HABT11,Financial,90.43
RECT11,Financial,45.1
FTCE11B,Financial,2900.89
HGFF11,Financial,85.08
HUSC11,Financial,115.89
JPPC11,Real Estate,200.0
KINP11,Financial,9.82
LATR11B,Financial,9.51
NVHO11,Financial,10.79
PRSN11B,Real Estate,1.24
RBRP11,Financial,55.25
RBRY11,Financial,100.49
RCFA11,Financial,2.05
SAIC11B,Financial,37.0
WTSP11B,Financial,35.7
VIVA3,Consumer Cyclical,27.31
CEAB3,Consumer Cyclical,5.09
BMGB4,Financial Services,2.39
